Acession;Genotype;Country;Date
FJ445501;East-Central-South-African;Singapore;2008
FJ445502;East-Central-South-African;Singapore;2008
FJ445503;East-Central-South-African;Singapore;2008
FJ445504;East-Central-South-African;Singapore;2008
FJ445505;East-Central-South-African;Singapore;2008
FJ445506;East-Central-South-African;Singapore;2008
FJ445507;East-Central-South-African;Singapore;2008
FJ445508;East-Central-South-African;Singapore;2008
FJ445509;East-Central-South-African;Singapore;2008
FJ445510;East-Central-South-African;Singapore;2008
FJ445511;East-Central-South-African;Singapore;2008
FJ457636;East-Central-South-African;Thailand;2008
FJ457637;East-Central-South-African;Thailand;2008
FJ457638;East-Central-South-African;Thailand;2008
FJ457639;East-Central-South-African;Thailand;2008
FJ457640;East-Central-South-African;Thailand;2008
FJ513628;East-Central-South-African;Sri Lanka;2008
FJ513629;East-Central-South-African;Sri Lanka;2008
FJ513630;East-Central-South-African;Sri Lanka;2008
FJ513631;East-Central-South-African;Sri Lanka;2008
FJ513632;East-Central-South-African;Sri Lanka;2008
FJ513633;East-Central-South-African;Sri Lanka;2008
FJ513634;East-Central-South-African;Sri Lanka;2008
FJ513635;East-Central-South-African;Sri Lanka;2008
FJ513636;East-Central-South-African;Sri Lanka;2008
FJ513637;East-Central-South-African;Sri Lanka;2008
FJ513638;East-Central-South-African;Sri Lanka;2008
FJ513639;East-Central-South-African;Sri Lanka;2008
FJ513640;East-Central-South-African;Sri Lanka;2008
FJ513641;East-Central-South-African;Sri Lanka;2008
FJ513642;East-Central-South-African;Sri Lanka;2008
FJ513643;East-Central-South-African;Sri Lanka;2008
FJ513644;East-Central-South-African;Sri Lanka;2008
FJ513645;East-Central-South-African;Sri Lanka;2008
FJ513646;East-Central-South-African;Sri Lanka;2008
FJ513647;East-Central-South-African;Sri Lanka;2008
FJ513648;East-Central-South-African;Sri Lanka;2008
FJ513649;East-Central-South-African;Sri Lanka;2008
FJ513650;East-Central-South-African;Sri Lanka;2008
FJ513651;East-Central-South-African;Sri Lanka;2008
FJ513652;East-Central-South-African;Sri Lanka;2008
FJ513653;East-Central-South-African;Sri Lanka;2008
FJ513654;East-Central-South-African;Sri Lanka;2008
FJ513655;East-Central-South-African;Sri Lanka;2008
FJ513656;East-Central-South-African;Sri Lanka;2008
FJ513657;East-Central-South-African;Sri Lanka;2008
FJ513658;East-Central-South-African;Sri Lanka;2008
FJ513659;East-Central-South-African;Sri Lanka;2008
FJ513660;East-Central-South-African;Sri Lanka;2008
FJ513661;East-Central-South-African;Sri Lanka;2008
FJ513662;East-Central-South-African;Sri Lanka;2008
FJ513663;East-Central-South-African;Sri Lanka;2008
FJ513664;East-Central-South-African;Sri Lanka;2008
FJ513665;East-Central-South-African;Sri Lanka;2008
FJ513666;East-Central-South-African;Sri Lanka;2008
FJ513667;East-Central-South-African;Sri Lanka;2008
FJ513668;East-Central-South-African;Sri Lanka;2008
FJ513669;East-Central-South-African;Sri Lanka;2008
FJ513670;East-Central-South-African;Sri Lanka;2008
FJ513671;East-Central-South-African;Sri Lanka;2008
FJ513672;East-Central-South-African;Sri Lanka;2008
FJ513673;East-Central-South-African;Sri Lanka;2008
FJ513674;East-Central-South-African;Sri Lanka;2008
FJ513675;East-Central-South-African;Sri Lanka;2008
FJ513676;East-Central-South-African;Sri Lanka;2008
FJ513677;East-Central-South-African;Sri Lanka;2008
FJ513678;East-Central-South-African;Sri Lanka;2008
FJ513679;East-Central-South-African;Sri Lanka;2008
FJ617282;East-Central-South-African;India;2008
FJ705369;East-Central-South-African;India;2008
FJ705370;East-Central-South-African;India;2008
FJ705371;East-Central-South-African;India;2008
FJ807886;Asian and Caribbean;Indonesia;2007
FJ807887;Asian and Caribbean;Indonesia;2007
FJ807888;Asian and Caribbean;Indonesia;2008
FJ807889;Asian and Caribbean;Indonesia;2008
FJ807890;Asian and Caribbean;Indonesia;2008
FJ807891;Asian and Caribbean;Indonesia;2008
FJ807892;East-Central-South-African;Malaysia;2008
FJ807893;East-Central-South-African;Malaysia;2008
FJ807894;East-Central-South-African;India;2008
FJ807895;East-Central-South-African;Malaysia;2009
FJ807896;East-Central-South-African;Singapore;2006
FJ807897;Asian and Caribbean;Indonesia;2007
FJ807898;East-Central-South-African;Bangladesh;2008
FJ807899;East-Central-South-African;Malaysia;2008
FJ882857;East-Central-South-African;Thailand;2009
FJ882858;East-Central-South-African;Thailand;2009
FJ882859;East-Central-South-African;Thailand;2009
FJ882860;East-Central-South-African;Thailand;2009
FJ882861;East-Central-South-African;Thailand;2009
FJ882862;East-Central-South-African;Thailand;2009
FJ882863;East-Central-South-African;Thailand;2009
FJ882864;East-Central-South-African;Thailand;2009
FJ882865;East-Central-South-African;Thailand;2009
FJ882866;East-Central-South-African;Thailand;2009
FJ882867;East-Central-South-African;Thailand;2009
FJ882868;East-Central-South-African;Thailand;2009
FJ882869;East-Central-South-African;Thailand;2009
FJ882870;East-Central-South-African;Thailand;2009
FJ882871;East-Central-South-African;Thailand;2009
FJ882872;East-Central-South-African;Thailand;2009
FJ882873;East-Central-South-African;Thailand;2009
FJ882874;East-Central-South-African;Thailand;2009
FJ882875;East-Central-South-African;Thailand;2009
FJ882876;East-Central-South-African;Thailand;2009
FJ882877;East-Central-South-African;Thailand;2009
FJ882878;East-Central-South-African;Thailand;2009
FJ882879;East-Central-South-African;Thailand;2009
FJ882880;East-Central-South-African;Thailand;2009
FJ882881;East-Central-South-African;Thailand;2009
FJ882882;East-Central-South-African;Thailand;2009
FJ882883;East-Central-South-African;Thailand;2009
FJ882884;East-Central-South-African;Thailand;2009
FJ882885;East-Central-South-African;Thailand;2009
FJ882886;East-Central-South-African;Thailand;2009
FJ882887;East-Central-South-African;Thailand;2009
FJ882888;East-Central-South-African;Thailand;2009
FJ882889;East-Central-South-African;Thailand;2009
FJ882890;East-Central-South-African;Thailand;2009
FJ882891;East-Central-South-African;Thailand;2009
FJ882892;East-Central-South-African;Thailand;2009
FJ882893;East-Central-South-African;Thailand;2009
FJ882894;East-Central-South-African;Thailand;2009
FJ882895;East-Central-South-African;Thailand;2009
FJ882896;East-Central-South-African;Thailand;2009
FJ882897;East-Central-South-African;Thailand;2009
FJ882898;East-Central-South-African;Thailand;2009
FJ882899;East-Central-South-African;Thailand;2009
FJ882900;East-Central-South-African;Thailand;2009
FJ882901;East-Central-South-African;Thailand;2009
FJ882902;East-Central-South-African;Thailand;2009
FJ882903;East-Central-South-African;Thailand;2009
FJ882904;East-Central-South-African;Thailand;2009
FJ882905;East-Central-South-African;Thailand;2009
FJ882906;East-Central-South-African;Thailand;2009
FJ882907;East-Central-South-African;Thailand;2009
FJ882908;East-Central-South-African;Thailand;2009
FJ882909;East-Central-South-African;Thailand;2009
FJ882910;East-Central-South-African;Thailand;2009
FJ882911;East-Central-South-African;Thailand;2009
FJ882912;East-Central-South-African;Thailand;2009
FJ882913;East-Central-South-African;Thailand;2009
FJ882914;East-Central-South-African;Thailand;2009
FJ882915;East-Central-South-African;Thailand;2009
FJ882916;East-Central-South-African;Thailand;2009
FJ882917;East-Central-South-African;Thailand;2009
FJ882918;East-Central-South-African;Thailand;2009
FJ882919;East-Central-South-African;Thailand;2009
FJ882920;East-Central-South-African;Thailand;2009
FJ882921;East-Central-South-African;Thailand;2009
FJ882922;East-Central-South-African;Thailand;2009
FJ959103;East-Central-South-African;Mauritius;2006
FJ998173;East-Central-South-African;Malaysia;2008
FN295483;Asian and Caribbean;Malaysia;2006
FN295484;Asian and Caribbean;Malaysia;2006
FN295485;East-Central-South-African;Malaysia;2008
FN295486;East-Central-South-African;Malaysia;2008
FN295487;East-Central-South-African;Malaysia;2008
FN295488;East-Central-South-African;Malaysia;2008
FN295489;East-Central-South-African;Malaysia;2008
FN295490;East-Central-South-African;Malaysia;2008
FN295491;East-Central-South-African;Malaysia;2008
FN295492;East-Central-South-African;Malaysia;2008
FN295493;East-Central-South-African;Malaysia;2008
FN295494;East-Central-South-African;Malaysia;2008
FN295495;East-Central-South-African;Malaysia;2008
FR687340;East-Central-South-African;Malaysia;2008
