Acession;Virus;Genotype;Product;Host;Country;Date;Size;Clinic;Gender;Age
AM258992;Chikungunya;East-Central-South-African;nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;Reunion;2005;11601;CHF;N/A;N/A
AM258993;Chikungunya;East-Central-South-African;nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;Reunion;2005;11598;CHF;N/A;N/A
AM258995;Chikungunya;East-Central-South-African;nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;Reunion;2005;11601;CHF;N/A;N/A
AM396995;Chikungunya;Asian and Caribbean;nsP1;Hs;Malaysia;2006;352;CHF;N/A;N/A
AM396996;Chikungunya;Asian and Caribbean;nsP1;Hs;Malaysia;2006;352;CHF;N/A;N/A
AM396997;Chikungunya;Asian and Caribbean;nsP1;Hs;Malaysia;2006;352;CHF;N/A;N/A
AM396998;Chikungunya;Asian and Caribbean;nsP1;Hs;Malaysia;2006;352;CHF;N/A;N/A
AM396999;Chikungunya;Asian and Caribbean;nsP1;Hs;Malaysia;2006;351;CHF;N/A;N/A
AM397000;Chikungunya;Asian and Caribbean;E2;Hs;Malaysia;2006;426;CHF;N/A;N/A
AM397001;Chikungunya;Asian and Caribbean;E2;Hs;Malaysia;2006;426;CHF;N/A;N/A
AM397003;Chikungunya;Asian and Caribbean;E2;Hs;Malaysia;2006;426;CHF;N/A;N/A
AM397004;Chikungunya;Asian and Caribbean;E2;Hs;Malaysia;2006;387;CHF;N/A;N/A
AM397005;Chikungunya;Asian and Caribbean;E1;Hs;Malaysia;2006;294;CHF;N/A;N/A
AM397006;Chikungunya;Asian and Caribbean;E1;Hs;Malaysia;2006;294;CHF;N/A;N/A
AM397007;Chikungunya;Asian and Caribbean;E1;Hs;Malaysia;2006;294;CHF;N/A;N/A
AM397008;Chikungunya;Asian and Caribbean;E1;Hs;Malaysia;2006;294;CHF;N/A;N/A
AY549575;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;CHF;N/A;N/A
AY549576;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;CHF;N/A;N/A
AY549577;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;N/A;N/A;N/A
AY549578;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;CHF;N/A;N/A
AY549579;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1124;CHF;N/A;N/A
AY549580;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;CHF;N/A;N/A
AY549581;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;CHF;N/A;N/A
AY549582;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;CHF;N/A;N/A
AY549583;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;CHF;N/A;N/A
AY549584;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Democratic Republic of the Congo;2000;1125;CHF;N/A;N/A
DQ443544;Chikungunya;East-Central-South-African;5'UTR-nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;Reunion;2006;11840;CHF;M;73
DQ451149;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Reunion;2006;1044;CHF;F;31
DQ462746;Chikungunya;East-Central-South-African;E1-3'UTR;Hs;Reunion;2006;1079;N/A;N/A;N/A
